,,,"Brooks, City [Census subdivision], Alberta",,,,,,"Division No.  2, Census division [Census division], Alberta"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","        Kartvelian languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Georgian",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Korean",,      45,,      25,,      20,,     265,,     125,,     140,
"Mother tongue","        Mongolic languages",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Mongolian",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","        Niger-Congo languages",,     160,,      80,,      75,,     470,,     260,,     210,
"Mother tongue","          Akan (Twi)",,       0,,       0,,       0,,      35,,      20,,      15,
"Mother tongue","          Bamanankan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Edo",,       5,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Ewe",,       0,,       0,,       0,,      20,,      15,,      10,
"Mother tongue","          Fulah (Pular; Pulaar; Fulfulde)",,       0,,       5,,       0,,       0,,       5,,       0,
"Mother tongue","          Ga",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Ganda",,       0,,       0,,       0,,       0,,       5,,       5,
"Mother tongue","          Igbo",,       5,,       0,,       0,,      15,,       5,,       5,
"Mother tongue","          Lingala",,       5,,       0,,       5,,      10,,       5,,      10,
"Mother tongue","          Rundi (Kirundi)",,      15,,      15,,       5,,      30,,      20,,       5,
"Mother tongue","          Kinyarwanda (Rwanda)",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Shona",,       0,,       0,,       0,,      15,,       5,,      15,
"Mother tongue","          Swahili",,      75,,      35,,      45,,     165,,      80,,      80,
"Mother tongue","          Wolof",,       5,,       0,,       5,,       0,,       5,,       5,
"Mother tongue","          Yoruba",,       0,,       0,,       0,,      55,,      30,,      25,
"Mother tongue","          Niger-Congo languages; n.i.e.",,      50,,      25,,      20,,     105,,      65,,      40,
"Mother tongue","        Nilo-Saharan languages",,     175,,      95,,      80,,     285,,     160,,     125,
"Mother tongue","          Dinka",,     130,,      70,,      55,,     195,,     110,,      85,
"Mother tongue","          Nilo-Saharan languages; n.i.e.",,      50,,      30,,      20,,      85,,      45,,      40,
"Mother tongue","        Sign languages",,       0,,       0,,       0,,      25,,      15,,      10,
"Mother tongue","          American Sign Language",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Quebec Sign Language",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Sign languages; n.i.e",,       0,,       0,,       0,,      20,,      10,,       5,
"Mother tongue","        Sino-Tibetan languages",,     270,,     135,,     135,,    1270,,     610,,     665,
"Mother tongue","          Chinese languages",,     270,,     135,,     135,,    1235,,     585,,     650,
"Mother tongue","            Cantonese",,      35,,      15,,      20,,     525,,     235,,     290,
"Mother tongue","            Hakka",,       0,,       5,,       0,,       5,,       5,,       0,
"Mother tongue","            Mandarin",,     210,,     100,,     105,,     570,,     280,,     285,
"Mother tongue","            Min Dong",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,       0,,       5,,       0,,      20,,      10,,      15,
"Mother tongue","            Wu (Shanghainese)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Chinese; n.o.s.",,      15,,      10,,      10,,     110,,      55,,      65,
"Mother tongue","            Chinese languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Tibeto-Burman languages",,       0,,       0,,       0,,      35,,      25,,      15,
"Mother tongue","            Burmese",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","            Karenic languages",,       0,,       0,,       0,,      30,,      15,,      10,
"Mother tongue","            Tibetan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tibeto-Burman languages; n.i.e.",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","        Tai-Kadai languages",,      35,,      15,,      15,,     100,,      35,,      65,
"Mother tongue","          Lao",,      15,,      10,,      10,,      40,,      20,,      15,
"Mother tongue","          Thai",,      20,,      10,,      10,,      65,,      15,,      50,
"Mother tongue","          Tai-Kadai languages; n.i.e",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Turkic languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Azerbaijani",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Turkish",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Uyghur",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Uzbek",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Turkic languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","        Uralic languages",,      40,,      15,,      20,,     480,,     235,,     245,
"Mother tongue","          Estonian",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Finnish",,       0,,       0,,       0,,      30,,      15,,      15,
"Mother tongue","          Hungarian",,      35,,      20,,      25,,     440,,     215,,     225,
"Mother tongue","          Uralic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Other languages; n.i.e.",,       5,,       0,,       5,,      35,,      20,,      15,
"Mother tongue","  Multiple responses",,     455,,     245,,     200,,    2520,,    1280,,    1240,
"Mother tongue","    English and French",,      25,,      10,,      15,,     245,,     130,,     115,
"Mother tongue","    English and non-official language",,     380,,     205,,     180,,    2145,,    1085,,    1065,
"Mother tongue","    French and non-official language",,      30,,      20,,      10,,      95,,      50,,      45,
"Mother tongue","    English; French and non-official language",,      10,,      10,,       5,,      35,,      20,,      20,
"Language spoken most often at home","Total - Language spoken most often at home for the total population excluding institutional residents - 100% data",19,   14340,,    7435,,    6905,,  167825,,   83975,,   83850,
"Language spoken most often at home","  Single responses",,   13275,,    6865,,    6415,,  163140,,   81650,,   81490,
"Language spoken most often at home","    Official languages",,   10300,,    5220,,    5075,,  144945,,   72380,,   72570,
"Language spoken most often at home","      English",,   10185,,    5155,,    5025,,  144465,,   72125,,   72340,
"Language spoken most often at home","      French",,     115,,      65,,      50,,     475,,     250,,     230,
"Language spoken most often at home","    Non-official languages",,    2980,,    1645,,    1335,,   18195,,    9275,,    8920,
"Language spoken most often at home","      Aboriginal languages",,       5,,       5,,       0,,      90,,      35,,      55,
"Language spoken most often at home","        Algonquian languages",,       5,,       5,,       0,,      90,,      40,,      55,
"Language spoken most often at home","          Blackfoot",,       0,,       0,,       0,,      75,,      30,,      45,
"Language spoken most often at home","          Cree-Montagnais languages",,       5,,       5,,       0,,      10,,       5,,       5,
"Language spoken most often at home","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Moose Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Northern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Plains Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Swampy Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Woods Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Cree; n.o.s.",,       0,,       5,,       0,,      10,,       5,,       5,
"Language spoken most often at home","          Eastern Algonquian languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Malecite",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Mi'kmaq",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Ojibway-Potawatomi languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Algonquin",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Ojibway",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Oji-Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Ottawa (Odawa)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Athabaskan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Northern Athabaskan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Carrier",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Chilcotin",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Dene",,       0,,       0,,       0,,       0,,       0,,       0,
